iter	Passed	Remaining
0	59	58974
1	59	29604
2	59	19821
3	59	14923
4	60	11977
5	60	10014
6	60	8618
7	61	7566
8	61	6747
9	61	6096
10	61	5560
11	62	5114
12	62	4734
13	62	4415
14	63	4141
15	63	3894
16	63	3678
17	63	3484
18	64	3312
19	64	3158
20	64	3016
21	64	2889
22	65	2772
23	65	2664
24	65	2565
25	66	2472
26	66	2388
27	66	2309
28	66	2239
29	67	2170
30	67	2105
31	67	2044
32	67	1987
33	68	1932
34	68	1881
35	68	1833
36	68	1788
37	68	1745
38	69	1704
39	69	1665
40	69	1629
41	69	1593
42	70	1560
43	70	1528
44	70	1498
45	70	1469
46	71	1442
47	71	1415
48	71	1389
49	71	1365
50	72	1341
51	72	1319
52	72	1297
53	72	1276
54	73	1255
55	73	1236
56	73	1216
57	73	1198
58	74	1180
59	74	1163
60	74	1146
61	74	1129
62	74	1114
63	75	1098
64	75	1084
65	75	1070
66	75	1057
67	76	1046
68	76	1033
69	76	1021
70	77	1009
71	77	997
72	77	986
73	77	974
74	78	963
75	78	952
76	78	942
77	78	932
78	79	922
79	79	912
80	79	902
81	79	892
82	79	882
83	80	873
84	80	864
85	80	856
86	80	849
87	81	841
88	81	833
89	81	825
90	81	817
91	82	810
92	82	802
93	82	795
94	82	789
95	83	782
96	83	775
97	83	769
98	83	764
99	84	758
100	84	752
101	84	745
102	84	739
103	85	733
104	85	728
105	85	722
106	85	716
107	86	711
108	86	706
109	86	701
110	86	696
111	87	691
112	87	686
113	87	681
114	87	676
115	88	671
116	88	666
117	88	662
118	88	657
119	89	653
120	89	648
121	89	643
122	89	639
123	89	635
124	90	631
125	90	627
126	90	623
127	90	619
128	91	615
129	91	611
130	91	608
131	91	604
132	92	600
133	92	597
134	92	594
135	93	591
136	93	588
137	93	586
138	94	583
139	94	579
140	94	576
141	94	572
142	95	569
143	95	566
144	95	563
145	95	560
146	95	557
147	96	554
148	96	551
149	96	548
150	96	545
151	97	542
152	97	539
153	97	536
154	97	533
155	98	530
156	98	528
157	98	525
158	98	522
159	99	520
160	99	516
161	99	514
162	99	512
163	100	509
164	100	507
165	100	505
166	100	502
167	100	500
168	101	497
169	101	495
170	101	493
171	101	490
172	102	488
173	102	486
174	102	483
175	102	481
176	103	479
177	103	477
178	103	474
179	103	472
180	104	470
181	104	468
182	104	466
183	104	464
184	104	462
185	105	460
186	105	458
187	105	456
188	105	454
